job_id,company,company_brief,role_title,exact_level,posting_date,posting_date_source,posting_date_confidence,location,country,work_arrangement,compensation,currency,sector,role_domain,domain_fit,domain_requirement_strength,domain_transfer_rationale,technology_orientation,role_cluster,role_mandate,key_functional_requirements,hard_prerequisites,candidate_relevant_evidence,primary_gap,gap_gating,gap_rationale,bridge_action,bridge_timing,strategic_skill_overlap,skill_build_priority,application_posture,application_lane,decision_rationale,recommended_resume_variant,recommended_portfolio_artifact,canonical_url,source,status,discovered_at,last_verified_at,application_status,outreach_status,user_review,user_notes
10514206,Amazon,AWS sells cloud services; this Core Services team commercializes the agent-evaluation capabilities used by developers building reliable AI applications.,"Principal Product Manager Technical, AWS Applied AI Solutions - Core Services",Principal Product Manager Technical,Not exposed,Not exposed,Unavailable,"Seattle, WA",US,On-site / unspecified,"USD 181,100–245,000 (published range)",USD,Big Tech,Enterprise AI agent evaluation platform,ADJACENT,Required,ADJACENT: Agent evaluation at AWS extends Shifia's Forecasting Agent and Patent AI work into a developer service and commercial GTM context.,GenAI / Agentic AI,AI / Agents / Evals,"Own evaluation products in production and define new agent-quality capabilities. Decide product strategy, quality methods, roadmap and GTM to drive developer adoption and revenue.",Define agent correctness and safety evaluation methods; Build automated evaluation pipelines and regression tests; Design human review and quality benchmarking workflows; Integrate evaluation signals with identity and observability; Drive POC-to-production adoption and product GTM,7+ years technical product management and experience launching technical products/businesses.,Forecasting Agent / Agent Evaluation; Patent AI retrieval evaluation; Deep Enterprise platform launch.,Evidence Gap,Soft,"Evaluation design is evidenced, but a developer-facing AWS service P&L and large-scale commercial evaluation adoption are not established.","Package golden datasets, graders, regression gates and adoption evidence; strengthen developer-platform positioning.",Ongoing Strategic Build,High,Build Now,Strong Match,Apply Now + Bridge,Apply immediately; direct agent-evaluation capability and Principal scope outweigh a bridgeable service-commercialization evidence gap.,AI Evals / Quality,Forecasting Agent / Agent Evaluation,https://amazon.jobs/en/jobs/10514206/principal-product-manager-technical-aws-applied-ai-solutions-core-services,Official employer/ATS page (amazon.jobs),Live,2026-09-19T15:28:49+00:00,2026-09-19T19:24:42+00:00,Not started,Not started,,
10487511,Amazon,Amazon Customer Service runs self-service help across shopping journeys; this team owns the AI-native destination and customer-intelligence primitives used across support surfaces.,"Principal Product Manager- Tech , Amazon Customer Service",Principal Product Manager- Tech,Not exposed,Not exposed,Unavailable,"Seattle, WA",US,On-site / unspecified,"USD 179,900–243,400 (published range)",USD,Big Tech,AI-native customer service and support experience,ADJACENT,Preferred,"ADJACENT: Consumer experience at Amazon and enterprise agent workflows transfer to support journeys, personalization and LLM quality.",GenAI / Agentic AI,AI / Agents / Evals,Set the multi-year vision for an AI-native support front door used across Amazon. Choose platform primitives and resolution-quality measures while coordinating delivery across customer-service teams.,Own an AI-native support destination roadmap; Shape customer memory and context primitives; Define LLM accuracy latency and UX evaluations; Integrate agentic automation with human service journeys; Drive cross-surface customer-experience standards,Principal-level technical PM and customer-facing product delivery; no dedicated support-domain tenure stated as a screen.,Amazon consumer products; Forecasting Agent; Deep Enterprise customer workflows.,Evidence Gap,Non-gating,"Current evidence shows agents and customer products, but not ownership of Amazon-scale support resolution or customer-service LLM metrics.",Prepare concrete agent evaluation and customer-journey stories while applying.,Before Interview,High,Build Now,Strong Match,Apply Now + Bridge,Apply immediately; Amazon technical-PM history and agent experience support a credible Principal interview.,Agents / 0→1 Platform,Forecasting Agent / Agent Evaluation,https://amazon.jobs/en/jobs/10487511/principal-product-manager-tech-amazon-customer-service,Official employer/ATS page (amazon.jobs),Live,2026-09-19T15:28:49+00:00,2026-09-19T19:24:42+00:00,Not started,Not started,,
10439720,Amazon,Prime Video is Amazon's streaming service; this role shapes the viewing and commerce experience across devices and markets.,"Principal Product Manager - Tech, PV Commerce, Prime Video Commerce",Principal Product Manager - Tech,Not exposed,Not exposed,Unavailable,"Seattle, WA",US,On-site / unspecified,"USD 179,900–243,400 (published range)",USD,Big Tech,Streaming entertainment commerce and viewer experience,ADJACENT,Preferred,"ADJACENT: Amazon consumer and monetization product work transfers to viewer conversion, cross-device experience and commercial tradeoffs.",Non-AI,Growth / Monetization / Consumer,"Own the product vision and roadmap for a Prime Video customer experience. Decide customer requirements and launch tradeoffs across devices, content and commerce partners.",Research viewer experience across devices; Define a digital-video product roadmap and metrics; Write detailed customer-facing product requirements; Coordinate science engineering design and content teams; Launch improvements across video customer journeys,8+ years technical product/program management and 4+ years end-to-end product delivery.,Amazon consumer financing/onboarding and growth; Amazon seller recommendations; cross-functional launches.,No Material Gap,Non-gating,"Streaming domain context is new, but the JD does not require prior entertainment tenure.",Tailor existing Amazon consumer product outcomes to cross-device commerce and viewer experience.,Not Required,Low,No Build Needed,Credible Match,Apply Now,Apply now; the technical consumer-product mandate is transferable at Principal level without a material screen.,Growth / Consumer,Amazon Financial Services,https://amazon.jobs/en/jobs/10439720/principal-product-manager-tech-pv-commerce-prime-video-commerce,Official employer/ATS page (amazon.jobs),Live,2026-09-19T15:28:49+00:00,2026-09-19T19:24:42+00:00,Not started,Not started,,
10487601,Amazon,Amazon's Featured Merchant Algorithm selects the offer shown in the Buy Box; the team owns ranking models and the global offer-selection experience.,"Principal Product Manager - Tech, Featured Merchant Algorithm",Principal Product Manager - Tech,Not exposed,Not exposed,Unavailable,Bengaluru,India,On-site / unspecified,Not published,,Big Tech,Marketplace offer ranking and merchant selection,ADJACENT,Preferred,"ADJACENT: Amazon seller recommendations and ML platform work transfer to merchant ranking, customer value and model-product tradeoffs.",Classical ML / Data Science,Marketplace / Supply Chain / Operations,"Guide the algorithm and customer-facing offer selection on Amazon buying surfaces. Balance merchant fairness, customer value, financial impact and scalable technical design.",Shape offer-ranking and Buy Box strategy; Weigh price availability delivery and trust signals; Quantify customer and financial impact of model changes; Coordinate applied-science and engineering launches; Define extensible offer-selection frameworks,Senior technical PM and data-driven marketplace product delivery; dedicated Featured Merchant tenure is not stated as a screen.,Amazon seller recommendations; Amazon ML Platform; Amazon Supply Chain / Optimization.,Evidence Gap,Non-gating,"Specific Buy Box ownership is not evidenced, but marketplace models and seller experience are adjacent.",Present seller-ranking and model tradeoffs in marketplace terms; verify India work authorization before application.,Before Application,Medium,No Build Needed,Credible Match,Apply Now,Apply if India eligibility is confirmed; marketplace and ML evidence support Principal scope without a new capability build.,Data / ML Platform,Amazon ML Platform,https://www.amazon.jobs/en/jobs/10487601/principal-product-manager-tech-featured-merchant-algorithm,Official employer/ATS page (www.amazon.jobs),Live,2026-09-19T15:28:49+00:00,2026-09-19T19:24:42+00:00,Not started,Not started,,
R-575564,Wells Fargo,Wells Fargo's Credit Services builds banking decision capabilities; this role owns foundational real-time credit eligibility and data-orchestration products.,Senior Lead Product Manager,Senior Lead Product Manager,2026-09-17,Official employer JD,High,"Charlotte, NC; Columbus, OH; Wilmington, DE",US,Hybrid,"USD 139,000–239,000 (published range)",USD,Banking,Credit eligibility and real-time decisioning,DIRECT,Required,"DIRECT: Amazon Financial Services directly covers lending, bureau data and credit-decisioning products.",Non-AI,Fintech / Payments / Credit,"Own a foundational credit-decisioning product area. Turn eligibility and data needs into resilient APIs, orchestration and an executable enterprise roadmap.",Own real-time credit decision orchestration; Translate eligibility needs into APIs and data movement; Decompose complex requirements into platform capabilities; Balance resilience controls and speed to market; Lead discovery and executive decisions across banking teams,7+ years product management or equivalent complex product/change leadership.,"Amazon Financial Services credit decisioning, bureau integration and consumer financing.",No Material Gap,Non-gating,Direct credit-domain experience meets the substance; bank-specific terminology does not change capability fit.,"Reframe resume around credit eligibility, bureau integration and real-time decisioning.",Not Required,Medium,No Build Needed,Strong Match,Apply Now,Apply now; direct credit product evidence and broad Senior Lead ownership outweigh non-Seattle location friction.,Fintech / Payments,Amazon Financial Services,https://www.wellsfargojobs.com/en/jobs/r-575564/senior-lead-product-manager/,Official employer/ATS page (www.wellsfargojobs.com),Live,2026-09-19T15:28:49+00:00,2026-09-19T19:24:42+00:00,Not started,Not started,,
R-553892,Wells Fargo,Wells Fargo Global Payments & Liquidity offers commercial payments and treasury products; the role modernizes liquidity offerings and related operating processes.,Lead Product Manager - Liquidity Transformation & Strategy,Lead Product Manager,2026-09-14,Official employer JD,High,"Charlotte, NC; Minneapolis, MN",US,Hybrid,Not published,,Banking,Treasury liquidity and transaction-banking modernization,BRIDGEABLE,Preferred,"BRIDGEABLE: Financial-services platform and regulated-process experience transfer, while liquidity-product mechanics are new.",Non-AI,Fintech / Payments / Credit,"Simplify and transform a transaction-banking portfolio. Align product, technology, risk, finance and sales around a new operating model and client capabilities.",Simplify transaction-banking and liquidity products; Design transition of operating processes; Translate modernization into business requirements; Align product risk finance sales and engineering; Shape client-facing treasury capability roadmaps,5+ years PM/product development/strategic planning or equivalent change delivery; treasury expertise is not a stated required screen.,Amazon Financial Services; Keystone Data Platform enterprise transformation.,Knowledge Gap,Non-gating,Liquidity structures and transaction-banking operating language need preparation; core PM and regulated-platform work transfer.,Learn liquidity and treasury-management workflows if a recruiter screen is scheduled.,Interview Triggered,Low,Interview Triggered,Credible Match,Apply Now + Bridge,Apply immediately; learnable liquidity specifics should not defer a senior banking-platform opportunity.,Fintech / Payments,Amazon Financial Services,https://www.wellsfargojobs.com/en/jobs/r-553892/lead-product-manager-liquidity-transformation-strategy/,Official employer/ATS page (www.wellsfargojobs.com),Live,2026-09-19T15:28:49+00:00,2026-09-19T19:24:42+00:00,Not started,Not started,,
R-575654,Wells Fargo,Wells Fargo's Global Treasury Management helps commercial clients collect and reconcile payments; the role owns its paper-receivables portfolio and modernization.,Senior Lead Product Manager: Paper Receivables,Senior Lead Product Manager,2026-09-15,Official employer JD,High,"Charlotte, NC; Irving, TX; Minneapolis, MN; San Francisco, CA; Tampa, FL",US,Hybrid,"USD 139,000–260,000 (published range)",USD,Banking,Commercial paper receivables and digital migration,BRIDGEABLE,Preferred,"BRIDGEABLE: Amazon financial products and enterprise modernization transfer to regulated receivables, but paper-payment operations are new.",Non-AI,Fintech / Payments / Credit,"Run the financial and product performance of paper receivables. Decide digital-migration, pricing, lifecycle and platform investments while preserving commercial-client continuity.",Own paper-receivables portfolio roadmap; Track revenue pricing profitability and service performance; Lead paper-to-electronic migration; Define investment cases and product risk controls; Improve commercial payment processing and reconciliation,7+ years product/change leadership; deep receivables or transaction-banking expertise is listed as Desired.,Amazon Financial Services; Keystone enterprise platform modernization.,Knowledge Gap,Non-gating,"Paper payment operations and receivables product economics are unfamiliar, but the JD places that depth under desired qualifications.","Learn lockbox, deposit, reconciliation and migration vocabulary only if an interview advances.",Interview Triggered,Low,Interview Triggered,Credible Match,Apply Now + Bridge,Apply immediately; Senior Lead IC portfolio scope is valuable and preferred domain depth can be bridged in interviews.,Fintech / Payments,Amazon Financial Services,https://www.wellsfargojobs.com/en/jobs/r-575654/senior-lead-product-manager-paper-receivables/,Official employer/ATS page (www.wellsfargojobs.com),Live,2026-09-19T15:28:49+00:00,2026-09-19T19:24:42+00:00,Not started,Not started,,
3e40be54-5d36-4cbc-88f2-eed63a09f545,Assured,Assured builds insurance-claims software for large carriers; this Staff role owns product capabilities that automate and improve claims decisions.,Staff Product Manager,Staff Product Manager,Not exposed,Not exposed,Unavailable,Remote (country not specified),Unknown,Remote,"USD 210,000–250,000 (published range)",USD,Insurance,Insurance claims automation,ADJACENT,Preferred,"ADJACENT: Claims differ from lending, but ML-supported risk decisions, regulated workflows, human review and enterprise automation transfer strongly.",Classical ML / Data Science,Enterprise / Developer Platform,"Make claims-processing software more accurate and efficient for insurers. Prioritize product workflows and automation across customer needs, risk decisions and carrier operations.",Own insurer-software product strategy and roadmap; Lead discovery through delivery and scale; Use customer research and metrics to improve claims experiences; Coordinate engineering design and GTM execution; Translate technical decisions for internal and external stakeholders,Proven full-lifecycle product leadership and technical fluency; no dedicated insurance tenure stated as a hard screen.,Amazon Financial Services; Amazon ML Platform; Deep Enterprise human-review workflows.,Knowledge Gap,Non-gating,"Insurance claim lifecycle terminology is new, but risk decisions and enterprise workflows already have credible evidence.",Prepare claims lifecycle and carrier operations concepts when an interview is scheduled; confirm US remote eligibility.,Interview Triggered,Low,Interview Triggered,Strong Match,Apply Now,Apply now; adjacent decisioning and automation evidence is sufficient without pre-application insurance study.,Enterprise Platform,Deep Enterprise,https://jobs.ashbyhq.com/assured/3e40be54-5d36-4cbc-88f2-eed63a09f545,Official employer/ATS page (jobs.ashbyhq.com),Live,2026-09-19T15:28:49+00:00,2026-09-19T19:24:42+00:00,Not started,Not started,,
ffcfb7c0-7ca2-4fa1-a91d-0f0f236bb2b9,Nirvana Insurance,"Nirvana uses telematics and AI models for commercial insurance; this role owns core data foundations supporting pricing, risk and the policy lifecycle.",Senior Product Manager,Senior Product Manager,Not exposed,Not exposed,Unavailable,"San Francisco, CA; New York, NY; Remote",US,Location type listed on-site; remote option ambiguous,"USD 155,000–220,000 (published range)",USD,Insurance,Commercial-insurance pricing and risk data platform,ADJACENT,Preferred,ADJACENT: Keystone and Amazon data/ML platforms transfer to risk-data foundations; commercial-insurance pricing requires new context.,Mixed,Data / ML Platform,"Own core platforms and data systems that support insurance pricing, risk and AI decisions. Choose foundational investments across the policy lifecycle and measure business adoption.",Define telematics data foundations; Support pricing and risk model product workflows; Connect platform data to policy-lifecycle decisions; Prioritize reusable AI/data infrastructure; Ship 0-to-1 platform capabilities,4–7 years PM or equivalent; no actuarial or commercial-insurance tenure stated as mandatory.,Keystone Data Platform; Amazon ML Platform; Amazon Financial Services.,Knowledge Gap,Soft,"Commercial-insurance pricing context is new; title, listed 4–7 years and on-site/remote wording leave seniority and work-mode fit uncertain.",Validate Principal-equivalent scope and Seattle remote eligibility with recruiter; learn pricing workflow details if interviewed.,Before Recruiter Screen,Low,Interview Triggered,Credible Match,Apply Now + Bridge,"Apply immediately as a conditional opportunity; platform ownership may offset the Senior title, but confirm level and remote terms early.",Data / ML Platform,Enterprise Data Platform,https://jobs.ashbyhq.com/nirvana/ffcfb7c0-7ca2-4fa1-a91d-0f0f236bb2b9,Official employer/ATS page (jobs.ashbyhq.com),Live,2026-09-19T15:28:49+00:00,2026-09-19T19:24:42+00:00,Not started,Not started,,
50191019-226e-4274-915f-e9e2da68cfa3,Steadily,Steadily offers landlord insurance through a digital product; this Principal role owns billing and policy-service workflows.,Principal Product Manager,Principal Product Manager,Not exposed,Not exposed,Unavailable,"Austin, TX",US,On-site,Not published,,Insurance,Property-insurance billing and policy servicing,BRIDGEABLE,Preferred,"BRIDGEABLE: Regulated financial product operations transfer to policy billing, but endorsements and renewals are specific to insurance.",Non-AI,Fintech / Payments / Credit,"Improve the end-to-end insurance policy experience after purchase. Decide billing, renewal, endorsement and cancellation workflows and their operational tradeoffs.",Design policy billing workflows; Improve renewal and endorsement journeys; Handle cancellation and servicing processes; Prioritize operational automation and reliability; Measure customer and business policy outcomes,Principal product ownership; insurance operations experience should be clarified rather than assumed as a mandatory screen.,Amazon Financial Services; Deep Enterprise regulated enterprise workflows.,Knowledge Gap,Soft,"Policy servicing concepts are learnable, while Austin on-site expectations may create separate location friction.",Confirm location flexibility and learn policy lifecycle concepts if an interview advances.,Interview Triggered,Low,Interview Triggered,Credible Match,Apply Now + Bridge,Apply immediately if Austin is a viable exploration option; domain study can wait until interview interest.,Fintech / Payments,Amazon Financial Services,https://jobs.ashbyhq.com/Steadily/50191019-226e-4274-915f-e9e2da68cfa3,Official employer/ATS page (jobs.ashbyhq.com),Live,2026-09-19T15:28:49+00:00,2026-09-19T19:24:42+00:00,Not started,Not started,,
