company,careers_url,expected_source_type,expected_source_identifier,benchmark_confidence,detected_source_type,detected_source_identifier,detector_confidence,detection_method,evidence,adapter_available,match_status,review_needed,identifier_comparison,identifier_note,source_ready
Microsoft,https://apply.careers.microsoft.com/careers,microsoft_custom,microsoft.com / pcsx,High,microsoft_custom,microsoft.com,high,input_url,"[{""method"": ""input_url"", ""url"": ""https://apply.careers.microsoft.com/careers"", ""found_on"": ""https://apply.careers.microsoft.com/careers""}, {""method"": ""redirect_or_response_url"", ""url"": ""https://apply.careers.microsoft.com/careers"", ""found_on"": ""https://apply.careers.microsoft.com/careers""}, {""method"": ""embedded_url"", ""url"": ""https://apply.careers.microsoft.com/careers"", ""found_on"": ""https://apply.careers.microsoft.com/careers""}]",True,MATCH,False,EXACT,,True
OpenAI,https://openai.com/careers/,ashby,openai,High,unknown,,low,insufficient_evidence,[],False,UNKNOWN,True,NOT_COMPARABLE,No reliable source evidence within bounded public inspection; access errors and limits are recorded.,False
Anthropic,https://www.anthropic.com/careers,greenhouse,anthropic,High,greenhouse,anthropic,high,link,"[{""method"": ""link"", ""url"": ""https://job-boards.greenhouse.io/anthropic/jobs/4980436008"", ""found_on"": ""https://www.anthropic.com/careers/jobs""}, {""method"": ""link"", ""url"": ""https://job-boards.greenhouse.io/anthropic/jobs/4951814008"", ""found_on"": ""https://www.anthropic.com/careers/jobs""}, {""method"": ""link"", ""url"": ""https://job-boards.greenhouse.io/anthropic/jobs/5429202008"", ""found_on"": ""https://www.anthropic.com/careers/jobs""}, {""method"": ""link"", ""url"": ""https://job-boards.greenhouse.io/anthropic/jobs/4610158008"", ""found_on"": ""https://www.anthropic.com/careers/jobs""}, {""method"": ""link"", ""url"": ""https://job-boards.greenhouse.io/anthropic/jobs/5183044008"", ""found_on"": ""https://www.anthropic.com/careers/jobs""}, {""method"": ""link"", ""url"": ""https://job-boards.greenhouse.io/anthropic/jobs/5183051008"", ""found_on"": ""https://www.anthropic.com/careers/jobs""}, {""method"": ""link"", ""url"": ""https://job-boards.greenhouse.io/anthropic/jobs/5183053008"", ""found_on"": ""https://www.anthropic.com/careers/jobs""}, {""method"": ""link"", ""url"": ""https://job-boards.greenhouse.io/anthropic/jobs/5238460008"", ""found_on"": ""https://www.anthropic.com/careers/jobs""}]",True,MATCH,False,EXACT,,True
Google,https://www.google.com/about/careers/applications/jobs/results/,company_native_custom,google careers,High,company_native_custom,,medium,company_job_links,"[{""method"": ""company_job_links"", ""url"": ""https://www.google.com/about/careers/applications/jobs/results/"", ""examples"": [""https://www.google.com/about/careers/applications/jobs/results/108881756240650950-staff-software-engineer-android-growth-systems-and-app-foundations"", ""https://www.google.com/about/careers/applications/jobs/results/111205174633996998-principal-strategist-security-strategic-customer-engagement-google-cloud"", ""https://www.google.com/about/careers/applications/jobs/results/114566403154944710-senior-leadership-technical-program-manager-data-intelligence-core-systems""]}, {""method"": ""company_job_links"", ""url"": ""https://www.google.com/about/careers/applications/jobs/results/114566403154944710-senior-leadership-technical-program-manager-data-intelligence-core-systems"", ""examples"": [""https://careers.google.com/jobs/results/114566403154944710"", ""https://www.google.com/about/careers/applications/jobs/results/108881756240650950-staff-software-engineer-android-growth-systems-and-app-foundations"", ""https://www.google.com/about/careers/applications/jobs/results/111205174633996998-principal-strategist-security-strategic-customer-engagement-google-cloud""]}, {""method"": ""company_job_links"", ""url"": ""https://www.google.com/about/careers/applications/jobs/results/83336424635409094-software-engineer-iii-infrastructure-internet-egress-traffic-engineering"", ""examples"": [""https://careers.google.com/jobs/results/83336424635409094"", ""https://www.google.com/about/careers/applications/jobs/results/108881756240650950-staff-software-engineer-android-growth-systems-and-app-foundations"", ""https://www.google.com/about/careers/applications/jobs/results/111205174633996998-principal-strategist-security-strategic-customer-engagement-google-cloud""]}, {""method"": ""company_job_links"", ""url"": ""https://www.google.com/about/careers/applications/jobs/results/108881756240650950-staff-software-engineer-android-growth-systems-and-app-foundations"", ""examples"": [""https://careers.google.com/jobs/results/108881756240650950"", ""https://www.google.com/about/careers/applications/jobs/results/108881756240650950-staff-software-engineer-android-growth-systems-and-app-foundations"", ""https://www.google.com/about/careers/applications/jobs/results/108881756240650950-staff-software-engineer-android-growth-systems-and-app-foundations?page=2""]}]",False,MATCH,True,NOT_COMPARABLE,Company careers/search surface verified; underlying ATS and reusable identifier not established.,False
Meta,https://www.metacareers.com/jobs/,company_native_custom,Meta Careers,Medium,company_native_custom,,medium,careers_search_surface,"[{""method"": ""careers_search_surface"", ""url"": ""https://www.metacareers.com/jobsearch/""}, {""method"": ""careers_search_surface"", ""url"": ""https://www.metacareers.com/jobsearch/""}]",False,MATCH,True,NOT_COMPARABLE,Company careers/search surface verified; underlying ATS and reusable identifier not established.,False
Amazon,https://www.amazon.jobs/,company_native_custom,amazon.jobs,High,company_native_custom,,medium,public_search_api_in_script,"[{""method"": ""public_search_api_in_script"", ""url"": ""https://static.amazon.jobs/assets/application-51b785a327f11cac69c366fa0f44ef3e21ce937a188cead0b947ee9093b41fc4.js""}]",False,MATCH,True,NOT_COMPARABLE,Company careers/search surface verified; underlying ATS and reusable identifier not established.,False
Apple,https://jobs.apple.com/,company_native_custom,jobs.apple.com,High,company_native_custom,,medium,company_job_links,"[{""method"": ""company_job_links"", ""url"": ""https://jobs.apple.com/en-us/details/114438158/us-specialist-seasonal-part-time?team=APPST&cid=RetailbannerA_us&board_id=JB111"", ""examples"": [""https://jobs.apple.com/ar-sa/details/114438158/us-specialist-seasonal-part-time"", ""https://jobs.apple.com/cs-cz/details/114438158/us-specialist-seasonal-part-time"", ""https://jobs.apple.com/da-dk/details/114438158/us-specialist-seasonal-part-time""]}, {""method"": ""company_job_links"", ""url"": ""https://jobs.apple.com/en-us/details/114438158/us-specialist-seasonal-part-time?team=APPST&cid=RetailbannerA_us&board_id=JB111"", ""examples"": [""https://jobs.apple.com/ar-sa/details/114438158/us-specialist-seasonal-part-time"", ""https://jobs.apple.com/cs-cz/details/114438158/us-specialist-seasonal-part-time"", ""https://jobs.apple.com/da-dk/details/114438158/us-specialist-seasonal-part-time""]}, {""method"": ""company_job_links"", ""url"": ""https://jobs.apple.com/en-us/details/114438158/us-specialist-seasonal-part-time/locationPicker"", ""examples"": [""https://jobs.apple.com/en-us/details/114438158/locationPicker"", ""https://jobs.apple.com/en-us/details/114438158/us-specialist-seasonal-part-time"", ""https://jobs.apple.com/en-us/details/114438158/us-specialist-seasonal-part-time/locationPicker""]}, {""method"": ""company_job_links"", ""url"": ""https://jobs.apple.com/en-us/details/114438158/us-specialist-seasonal-part-time/locationPicker"", ""examples"": [""https://jobs.apple.com/en-us/details/114438158/locationPicker"", ""https://jobs.apple.com/en-us/details/114438158/us-specialist-seasonal-part-time"", ""https://jobs.apple.com/en-us/details/114438158/us-specialist-seasonal-part-time/locationPicker""]}]",False,MATCH,True,NOT_COMPARABLE,Company careers/search surface verified; underlying ATS and reusable identifier not established.,False
Stripe,https://stripe.com/jobs,greenhouse,stripe,Medium,greenhouse,,medium,structured_source_ids,"[{""method"": ""structured_source_ids"", ""url"": ""https://stripe.com/careers/search"", ""found_on"": ""https://stripe.com/careers/search""}]",True,MATCH,True,NOT_COMPARABLE,Provider detected; reusable identifier missing or conflicting.,False
Databricks,https://www.databricks.com/company/careers,greenhouse,databricks,Medium,unknown,,low,insufficient_evidence,[],False,UNKNOWN,True,NOT_COMPARABLE,No reliable source evidence within bounded public inspection; access errors and limits are recorded.,False
Airbnb,https://careers.airbnb.com/positions/,greenhouse,airbnb,High,greenhouse,airbnb,high,link,"[{""method"": ""link"", ""url"": ""https://boards.greenhouse.io"", ""found_on"": ""https://careers.airbnb.com/positions/8184174/""}, {""method"": ""script"", ""url"": ""https://boards.greenhouse.io/embed/job_board/js?for=airbnb"", ""found_on"": ""https://careers.airbnb.com/positions/8184174/""}]",True,MATCH,False,EXACT,,True
