job_id,company,role_title,exact_level,posting_date,location,work_arrangement,compensation,sector,role_domain,domain_fit,technology_orientation,application_posture,application_lane,primary_gap,gap_gating,bridge_action,bridge_timing,skill_build_priority,decision_rationale,recommended_resume_variant,recommended_portfolio_artifact,canonical_url,last_verified_at,user_review,user_notes
R-575564,Wells Fargo,Senior Lead Product Manager,Senior Lead Product Manager,2026-09-17,"Charlotte, NC; Columbus, OH; Wilmington, DE",Hybrid,"USD 139,000–239,000 (published range)",Banking,Credit eligibility and real-time decisioning,DIRECT,Non-AI,Strong Match,Apply Now,No Material Gap,Non-gating,"Reframe resume around credit eligibility, bureau integration and real-time decisioning.",Not Required,No Build Needed,Apply now; direct credit product evidence and broad Senior Lead ownership outweigh non-Seattle location friction.,Fintech / Payments,Amazon Financial Services,https://www.wellsfargojobs.com/en/jobs/r-575564/senior-lead-product-manager/,2026-09-19T19:24:42+00:00,,
10439720,Amazon,"Principal Product Manager - Tech, PV Commerce, Prime Video Commerce",Principal Product Manager - Tech,Not exposed,"Seattle, WA",On-site / unspecified,"USD 179,900–243,400 (published range)",Big Tech,Streaming entertainment commerce and viewer experience,ADJACENT,Non-AI,Credible Match,Apply Now,No Material Gap,Non-gating,Tailor existing Amazon consumer product outcomes to cross-device commerce and viewer experience.,Not Required,No Build Needed,Apply now; the technical consumer-product mandate is transferable at Principal level without a material screen.,Growth / Consumer,Amazon Financial Services,https://amazon.jobs/en/jobs/10439720/principal-product-manager-tech-pv-commerce-prime-video-commerce,2026-09-19T19:24:42+00:00,,
10487601,Amazon,"Principal Product Manager - Tech, Featured Merchant Algorithm",Principal Product Manager - Tech,Not exposed,Bengaluru,On-site / unspecified,Not published,Big Tech,Marketplace offer ranking and merchant selection,ADJACENT,Classical ML / Data Science,Credible Match,Apply Now,Evidence Gap,Non-gating,Present seller-ranking and model tradeoffs in marketplace terms; verify India work authorization before application.,Before Application,No Build Needed,Apply if India eligibility is confirmed; marketplace and ML evidence support Principal scope without a new capability build.,Data / ML Platform,Amazon ML Platform,https://www.amazon.jobs/en/jobs/10487601/principal-product-manager-tech-featured-merchant-algorithm,2026-09-19T19:24:42+00:00,,
3e40be54-5d36-4cbc-88f2-eed63a09f545,Assured,Staff Product Manager,Staff Product Manager,Not exposed,Remote (country not specified),Remote,"USD 210,000–250,000 (published range)",Insurance,Insurance claims automation,ADJACENT,Classical ML / Data Science,Strong Match,Apply Now,Knowledge Gap,Non-gating,Prepare claims lifecycle and carrier operations concepts when an interview is scheduled; confirm US remote eligibility.,Interview Triggered,Interview Triggered,Apply now; adjacent decisioning and automation evidence is sufficient without pre-application insurance study.,Enterprise Platform,Deep Enterprise,https://jobs.ashbyhq.com/assured/3e40be54-5d36-4cbc-88f2-eed63a09f545,2026-09-19T19:24:42+00:00,,
fa5d826d-18e1-4ce1-b103-204a5701a701,Socure,Principal Product Manager,Principal Product Manager,Not exposed,"Seattle, WA",Hybrid,"USD 237,000–285,000 (published range)",Fintech,Bank-account verification and identity intelligence,ADJACENT,Classical ML / Data Science,Strong Match,Apply Now,Evidence Gap,Soft,"Lead with financial decisioning, bureau data and platform commercialization, without claiming direct account-verification ownership.",Before Interview,No Build Needed,Apply now; Seattle Principal scope and adjacent financial-risk ML evidence support a credible interview.,Fintech / Payments,Amazon Financial Services,https://jobs.ashbyhq.com/socure/fa5d826d-18e1-4ce1-b103-204a5701a701,2026-09-19T19:24:42+00:00,,
f7225fae-2203-4332-8ea4-8569c7e371d1,Vanta,"Staff Product Manager, Data Platform",Staff Product Manager,Not exposed,United States,Remote,"USD 243,000–286,000 (published range)",Enterprise Software,Security/compliance data platform,ADJACENT,Data / Infrastructure,Strong Match,Apply Now,No Material Gap,Non-gating,"Tailor Keystone data contracts, governance and adoption examples; no capability build required.",Not Required,No Build Needed,Apply now; Staff data-platform functional fit and remote-US setup are compelling.,Data / ML Platform,Enterprise Data Platform,https://jobs.ashbyhq.com/vanta/f7225fae-2203-4332-8ea4-8569c7e371d1,2026-09-19T19:24:42+00:00,,
R-2538197,Walmart,"(USA) Principal, Product Manager","Principal, Product Manager",Not exposed,"Bentonville, AR",On-site / unspecified,"USD 110,000–220,000 (published range)",Retail / Commerce,Supply-chain inventory planning,DIRECT,Classical ML / Data Science,Strong Match,Apply Now,No Material Gap,Non-gating,Lead with documented Amazon supply-chain and forecasting outcomes; clarify on-site expectations early.,Not Required,No Build Needed,Apply now for calibration; direct domain and Principal scope justify exploration despite Bentonville location friction.,Data / ML Platform,Amazon Supply Chain / Optimization,https://careers.walmart.com/us/en/jobs/R-2538197,2026-09-19T19:24:42+00:00,,
R-575654,Wells Fargo,Senior Lead Product Manager: Paper Receivables,Senior Lead Product Manager,2026-09-15,"Charlotte, NC; Irving, TX; Minneapolis, MN; San Francisco, CA; Tampa, FL",Hybrid,"USD 139,000–260,000 (published range)",Banking,Commercial paper receivables and digital migration,BRIDGEABLE,Non-AI,Credible Match,Apply Now + Bridge,Knowledge Gap,Non-gating,"Learn lockbox, deposit, reconciliation and migration vocabulary only if an interview advances.",Interview Triggered,Interview Triggered,Apply immediately; Senior Lead IC portfolio scope is valuable and preferred domain depth can be bridged in interviews.,Fintech / Payments,Amazon Financial Services,https://www.wellsfargojobs.com/en/jobs/r-575654/senior-lead-product-manager-paper-receivables/,2026-09-19T19:24:42+00:00,,
R-553892,Wells Fargo,Lead Product Manager - Liquidity Transformation & Strategy,Lead Product Manager,2026-09-14,"Charlotte, NC; Minneapolis, MN",Hybrid,Not published,Banking,Treasury liquidity and transaction-banking modernization,BRIDGEABLE,Non-AI,Credible Match,Apply Now + Bridge,Knowledge Gap,Non-gating,Learn liquidity and treasury-management workflows if a recruiter screen is scheduled.,Interview Triggered,Interview Triggered,Apply immediately; learnable liquidity specifics should not defer a senior banking-platform opportunity.,Fintech / Payments,Amazon Financial Services,https://www.wellsfargojobs.com/en/jobs/r-553892/lead-product-manager-liquidity-transformation-strategy/,2026-09-19T19:24:42+00:00,,
JB0074880,ServiceNow,Staff Technical Product Manager – AI/LLM expertise + AI Evaluation Science,Staff Technical Product Manager,2026-08-26,Hyderabad,Flexible,Not published,Enterprise Software,Enterprise AI evaluation and LLM quality,DIRECT,GenAI / Agentic AI,Strong Match,Apply Now + Bridge,Evidence Gap,Non-gating,"Deepen and package golden datasets, graders, judge calibration and regression gates; confirm India eligibility.",Ongoing Strategic Build,Build Now,Apply immediately if India eligibility is confirmed; strong evaluation evidence and Staff scope merit concurrent strategic depth-building.,AI Evals / Quality,Forecasting Agent / Agent Evaluation,https://careers.servicenow.com/jobs/744000145693831/staff-technical-product-manager-aillm-expertise-plus-ai-evaluation-science/,2026-09-19T19:24:42+00:00,,
